OBJECTID,MapUnit,Name,FullName,Age,Description,HierarchyKey,ParagraphStyle,Label,Symbol,AreaFillRGB,AreaFillPatternDescription,DescriptionSourceID,GeoMaterial,GeoMaterialConfidence,DescriptionOfMapUnits_ID
"54",Ym,McNamara Formation,McNamara Formation,Proterozoic Y,"In the central and southern parts of the area the McNamara is divisible into two unnamed members, an upper dominantly reddish brown quartzite and a lower dominantly grayish green siltite (Somers, 1966 - DAS32; Mudge and Earhart, 1978 - DAS27). Quartzite in the upper member is interbedded with siltite and minor argillite. Most of the unit is thin bedded, fine grained, micaceous, minutely crossbedded, and locally ripple marked. The lower member contains thin beds of argillite and fine- to medium-grained quartzite and locally some reddish-gray siltite. Ripple marks, minute crossbedding, and load casts are common. The upper part of the lower member contains thin beds of glauconitic sandstone, some barite nodules, and vuggy reddish chalcedony, particularly in the eastern outcrop area (Mudge, 1972 - DAS09; Mudge and Earhart, 1978 - DAS27). In the northern part of the area, the formation thickens and is dominantly grayish green siltite. The formation varies in thickness, due in part to pre-Middle Cambrian erosion, and ranges from 47 m to 1,650 m. Where overlain by the Garnet Range Formation its minimum thickness is 640 m; it thickens northward",02-03,DMU1,Ym,Ym,"235,153,077",,DAS02 | DAS09 | DAS27 | DAS32,Metasedimentary rock,High,DMU54
"55",Ymi,"Bonner Quartzite and Mount Shields, Shepard, and Snowslip Formations, undivided","Bonner Quartzite and Mount Shields, Shepard, and Snowslip Formations, undivided",Proterozoic Y,Mapped only in the upper reaches of Smith and Elk Creeks,02-04,DMU1,Ymi,Ymi,"235,179,102",,DAS02,Metasedimentary rock,High,DMU55
"56",Yb,Bonner Quartzite,Bonner Quartzite,Proterozoic Y,"Consists mostly of pink, pale-red, and pinkish-gray, fine- to medium-grained, poorly sorted beds of quartzite that range in thickness from 31 cm to 76 cm. The quartzite is mostly feldspathic and locally includes fragments of red argillite. Many beds are crossbedded and ripple marked. Thickness ranges from 213 m to 580 m",02-05,DMU1,Yb,Yb,"204,128,077",,DAS02,Quartzite,High,DMU56
"57",Yms,Mount Shields Formation,Mount Shields Formation,Proterozoic Y,"Mostly bright reddish brown, thinly laminated, micaceous siltite, argillite, and thin- to thick-bedded quartzite. Sedimentary features include minute cross-laminations, ripple marks, mud-crack fillings, and mud chips. A grayish-green siltite unit with local interbedded dark-gray fissile shale widespread in the upper part of the formation. Salt-crystal casts widespread in the upper part of the formation, beneath the grayish-green unit. The quartzite beds are mostly fine to medium grained and more common in the middle and lower parts of the formation. A thick (155 m to 305 m) quartzite unit is present in the upper-middle part of the formation in the southern outcrop. It contains poorly sorted, fine- to coarse-grained, pinkish-gray to reddish-brown quartzite beds less than 1 m thick that are separated by thin beds of reddish-brown siltite and argillite. The color, grain size, and sedimentary features of the quartzite beds are similar to those in the Bonner Quartzite. The lower part of the formation in the eastern outcrop commonly contains thin beds of glauconitic quartzite. In the central and northern parts of the area the formation is more argillitic and contains beds of stromatolitic and oolitic limestone. The formation thickens south and west, from 555 m in the eastern outcrop to 2,180 m in the west at Swan Range and to 1,860 m in the south",02-06,DMU1,Yms,Yms,"222,180,129",,DAS02,Metasedimentary rock,High,DMU57
"58",Ysh,Shepard Formation,Shepard Formation,Proterozoic Y,"Consists mostly of greenish-gray to grayish-yellow micaceous siltite and some silty limestone and argillite. Beds of maroon siltite and argillite widespread in the middle part and locally in the upper part. Thin glauconitic quartzite lentils widespread in the upper part of the formation in the eastern outcrop, but sparse elsewhere. Ripple marks, minute cross lamination, load casts, and mud cracks also common in the eastern outcrop. An edgewise conglomerate present near the base of the formation in the east, but elsewhere a stromatolitic limestone bed occurs at the same horizon. Other beds of stromatolitic limestone also present in the lower part of the formation in the Mission Range (Harrison and others, 1969 - DAS06). The formation thickens westward and southward, from 249 m in the eastern outcrop to about 900 m in the west in the Swan Range and about 715 m in the south",02-07,DMU1,Ysh,Ysh,"235,204,179",,DAS02 | DAS06,Metasedimentary rock,High,DMU58
"59",Ysn,Snowslip Formation,Snowslip Formation,Proterozoic Y,"Consists of pale-red to reddish-brown beds and interbedded greenish-gray beds of argillite and siltite with some thin beds of very fine to fine-grained quartzite. Thin beds of stromatolitic and oolitic limestone and flat pebble conglomerate locally occur at various horizons. Crossbedded, minute laminae, ripple marks, and mud cracks common features; raindrop impressions mudchip conglomerates less common. Thin beds of poorly sorted, fine- to coarse-grained quartzite and gritstone common near the lower contact. The formation thickens west and south, from about 215 m in the eastern outcrop to 1,660 min the Swan Range and 1,100 min the southern part of the area",02-08,DMU1,Ysn,Ysn,"235,179,128",,DAS02,Metasedimentary rock,High,DMU59
"60",Yh,Helena Formation,Helena Formation,Proterozoic Y,"In most places the Helena is divisible into three units. The upper unit consists of beds of limestone interbedded with dolomite, siltite, and argillite. Beds of stromatolites, oolites, and edgewise conglomerates widespread. The middle unit, comprising most of the formation, consists of light- to medium-gray, thin-to thick-bedded silty limestone, dolomite, and calcitic dolomite that weathers to a yellowish gray to grayish orange. Commonly, vertical ribbons, blobs, horizontal mats, lenses, and pods differentially weather to form crenulating patterns (""molar tooth structure,"" O'Connor, 1967 - DAS30). Stromatolites, oolites, and edgewise conglomerates locally present at various horizons, especially in the eastern outcrop. The lower unit consists mostly of calcareous or dolomitic siltite with some beds of dolomite and quartzite. The siltite is gray, greenish gray, and locally dark red near the lower contact. The quartzite that occurs at the base is light gray, thinly bedded, calcareous, medium grained, and poorly sorted. The Helena thickens westward and southward, from about 205 m in the central part of the eastern outcrop to about 3,000 min the Mission Range (Harrison and others, 1969 - DAS06) to 1,662 m in the south (Mudge and others, 1974 - DAS11)",02-09,DMU1,Yh,Yh,"235,222,128",,DAS02 | DAS06 | DAS11 | DAS30,Metasedimentary rock,High,DMU60
"61",Yes,Spokane and Empire Formations undivided,Spokane and Empire Formations undivided,Proterozoic Y,"Undivided only in the eastern and part of the southern outcrop area. In those areas the unit is pale-red, maroon, green, and gray siliceous argillite and siltite, with minor thin beds of poorly sorted, fine-grained quartzite. Locally in the eastern outcrop also contains some thin beds of dolomite, edgewise conglomerate, and stromatolite beds",02-10,DMU1,Yes,Yes,"153,179,179",,DAS02,Metasedimentary rock,High,DMU61
"62",Ye,Empire Formation,Empire Formation,Proterozoic Y,"A transitional unit between the Helena and Spokane Formations. Mostly greenish gray argillite and siltite with interbeds of quartzite, dolomite, and locally stromatolitic and oolitic carbonate rock. The quartzites are poorly sorted, ranging from very fine to medium grained, and locally carbonate cemented. The amount of carbonate appears to increase upward. Red to purple beds of predominantly argillite occur in the lower part of the formation. The formation varies in thickness from less than 1 m to as much as 610 m (Mudge and others, 1974 - DAS11, 1978 - DAS27)",02-11,DMU1,Ye,Ye,"222,204,179",,DAS02 | DAS11 | DAS27,Metasedimentary rock,High,DMU62
"63",Ys,Spokane Formation,Spokane Formation,Proterozoic Y,"Mostly pale-purplish-red and grayish-red siltite and argillite interbedded with lithologically similar greenish-gray beds. The southeastern and northwestern outcrops contain light-gray, very fine to medium-grained, thin beds of quartzite that locally contain minute crossbeds and ripple marks. The formation as much as 1,500 m thick in the Swan Range (Johns, 1970 - DAS24) and as much as 915 m thick in the southeast (Schmidt and Strong, 1972 - DAS18)",02-12,DMU1,Ys,Ys,"235,222,204",,DAS02 | DAS18 | DAS24,Metasedimentary rock,High,DMU63
"64",Yg,Greyson Formation,Greyson Formation,Proterozoic Y,"The oldest unit exposed in and near the map area; therefore, its base is not exposed. Consists of light-gray to greenish-gray, thinly bedded siltite with some quartzite, grading down into dark-gray, greenish-gray, very thinly laminated argillite and siltite in the lower part. Its sedimentary features include ripple marks, mudcracks, and locally salt crystal casts (Schmidt and Strong, 1972 - DAS18). Thickness of the formation is as much as 762 m (Schmidt and Strong, 1972 - DAS18)",02-13,DMU1,Yg,Yg,"204,179,077",,DAS02 | DAS18,Metasedimentary rock,High,DMU64
"65",,"Igneous rocks, younger than early Tertiary thrust faulting in the Montana Disturbed Belt",,,,"03",Heading2,,,,,DAS02,,,DMU65
"66",Tb,Basalt,Basalt,Pliocene?,"Occurs mostly as dark-gray to gray-brown, finely porphyritic flows with numerous calcite- and zeolite-filled cavities. Locally weathers into spheroidal boulders and overlies Tertiary lakebed deposits. Present only in the Keep Cool Lakes area on the southern border of map area",03-01,DMU1,Tb,Tb,"255,153,128",,DAS02,Mafic-composition lava flows,High,DMU66
"67",Td,Dacite,Dacite,Miocene? And Oligocene,"Volcanic neck or plug and sills, gray to light-gray, aphanitic groundmass of greenish-gray feldspar with phenocrysts of light-gray feldspar, hornblende, and biotite. Present only at and near Haystack Butte in southeastern part of map area",03-02,DMU1,Td,Td,"255,128,000",,DAS02,"Fine-grained, intermediate-composition intrusive igneous rock",High,DMU67
"68",Tm,Hornblende monzonite,Hornblende monzonite,Eocene?,"Light-gray, fine-grained, equigranular dikes and sills composed of andesine, sanidine, hornblende, augite, biotite, magnetite, and apatite. Hornblende needles, 3-4 mm long, characterize the rock (Schmidt, 1972b, c - DAS 16, DAS17; Schmidt and Strong, 1972 - DAS18). Dated as 46.3 m.y. by the K-Ar method (R. G. Schmidt, 1978 - DAS31). Widespread in southeast comer of map area",03-03,DMU1,Tm,Tm,"235,179,235",,DAS02 | DAS16 | DAS17 | DAS18 | DAS31,"Fine-grained, felsic-composition intrusive igneous rock",High,DMU68
"69",Tmp,Monzonite porphyry,Monzonite porphyry,Eocene?,"Stocks, dikes, and sills, of light-gray, abundant, 1-cm and larger phenocrysts of orthoclase that weather out as euhedral crystals. Dated at 58.3 m.y. by the K-Ar method (Mehnert and Schmidt, 1971 - DAS26; Schmidt, 1978 - DAS31). Present only in southeast corner of map area",03-04,DMU1,Tmp,Tmp,"235,077,153",,DAS02 | DAS26 | DAS31,"Coarse-grained, intermediate-composition intrusive igneous rock",High,DMU69
"70",Ta,Biotite trachyandesite and andesite,Biotite trachyandesite and andesite,Paleocene?,"Dikes, sills, and irregular-shaped bodies. Includes trachybasalt and biotite trachybasalt of Schmidt (1972b, c - DAS16, DAS17; 1978 - DAS31). Dark-gray, aphanitic groundmass with hornblende and some biotite phenocrysts, weathers brown. Present only in the southeast corner of map area",03-05,DMU1,Ta,Ta,"235,077,077",,DAS02 | DAS16 | DAS17 | DAS31,"Fine-grained, intermediate-composition intrusive igneous rock",Medium,DMU70
"71",,Igneous rocks older than early Tertiary thrust faulting in the Montana disturbed belt,,,,"04",Heading2,,,,,DAS02,,,DMU71
"72",Tva,Adel Mountain Volcanics of Lyons (1944 - DAS25),Adel Mountain Volcanics of Lyons (1944 - DAS25),Paleocene?,"Volcanic and volcanic-sedimentary rocks. Trachyandesite and trachybasalt flows (Schmidt, 1972a - DAS15), volcanic conglomerate, breccia, and lacustrine deposits of volcanic sandstone, siltstone, and mudstone (Schmidt, 1972a - DAS15, 1978 - DAS31). Present only in southeast corner of map area",04-01,DMU1,Tva,Tva,"255,204,179",,DAS02 | DAS15 | DAS25 | DAS31,Sedimentary and extrusive igneous material,High,DMU72
"73",TKi,Trachyandesite,Trachyandesite,Paleocene or Upper Cretaceous,"Sills, dark grayish brown, aphanitic groundmass of feldspar with phenocrysts of plagioclase, potassium feldspar, pyroxene, and quartz (Mudge, 1972 - DAS09). Widespread near the North Fork Sun River",04-02,DMU1,TKi,TKi,"235,153,179",,DAS02 | DAS09,"Fine-grained, intermediate-composition intrusive igneous rock",High,DMU73
"74",TKr,Rhyolite,Rhyolite,Paleocene or Upper Cretaceous,"Dikes and sills, light-gray to white; finely porphyritic with abundant 2-3 mm phenocrysts of quartz and oligoclase (Schmidt, 1972c - DAS17, 1978 - DAS31). Present only in southeast corner of the map area",04-03,DMU1,TKr,TKr,"128,077,102",,DAS02 | DAS17 | DAS31,"Fine-grained, felsic-composition intrusive igneous rock",High,DMU74
"75",TKp,Quartz monzonite porphyry,Quartz monzonite porphyry,Paleocene or Upper Cretaceous,"Sills, light-grayish-orange; coarsely porphyritic with abundant 1 cm and larger phenocrysts of potassium feldspar and oligoclase-andesine in a fine-grained groundmass (Schmidt, 1972c - DAS17, 1978 - DAS31)",04-04,DMU1,TKp,TKp,"235,204,204",,DAS02 | DAS17 | DAS31,"Coarse-grained, felsic-composition intrusive igneous rock",Medium,DMU75
"76",Kl,Latite,Latite,Cretaceous,"Sill, gray, grayish-purple; massive and porphyritic with abundant phenocrysts of labradorite in an aphanitic groundmass (Schmidt, 1972c - DAS17, 1978 - DAS31). Present only in southeast corner of map area",04-05,DMU1,Kl,Kl,"235,204,255",,DAS02 | DAS17 | DAS31,"Fine-grained, intermediate-composition intrusive igneous rock",High,DMU76
"77",Ks,Diorite sills (in GeologicLines feature class),Diorite sills (in GeologicLines feature class),Cretaceous?,"Includes rhyodacite porphyry and diorite as mapped by Schmidt and Strong (1972 - DAS19) and Schmidt (1978 - DAS31). The rhyodacite is greenish gray with phenocrysts of oligoclase and hornblende mainly in a groundmass of quartz and feldspar. The diorite is greenish gray, fine grained, and equigranular (Schmidt and Strong, 1972 - DAS19). Present only in southeast corner of map area",04-06,DMU1,Ks,Ks,,,DAS02 | DAS19 | DAS31,"Coarse-grained, intermediate-composition intrusive igneous rock",High,DMU77
"78",Zd,Diorite sills and local dikes,Diorite sills and local dikes,Proterozoic Z,"Mostly diorite and quartz diorite, locally minor diorite-gabbro and monzonite. Dark gray, weathers grayish brown. Dated at 750+/-25 m.y. by K-Ar method (J. D. Obradovich, oral commun., 1966). Widespread throughout map area",04-07,DMU1,Zd,Zd,"204,128,235",,DAS02,"Coarse-grained, intermediate-composition intrusive igneous rock",High,DMU78
"79",Ydi,"Andesite, basaltic andesite, and dacite","Andesite, basaltic andesite, and dacite",Proterozoic Y,"Thin sills, grayish-green; amphibole, biotite, and feldspar phenocrysts in aphanitic groundmass of plagioclase and ferromagnesian minerals. Probably equivalent in age (1,075 m.y.) to the Purcell Lava of the Belt Supergroup in Glacier National Park. Present in southern part of map area near and southeast of Red Mountain",04-08,DMU1,Ydi,Ydi,"128,077,153",,DAS02,"Fine-grained, mafic-composition intrusive igneous rock",Medium,DMU79
